Gene source	Gene target
HSP90AA1	HIF1A
TRAF2	HSPA1B
PIK3R1	CRKL
FTSJ1	RPL26
PEBP1	RAF1
RPS6	RPL5
CBL	PXN
CHUK	CLTC
LYAR	ZBTB16
IKBKAP	MAP3K14
NR4A1	BCL2
RELB	CHUK
RPS16	RPS6
MYC	HDAC2
AKT1	IKBKB
RPS6	
RPS6	RPLP1
YWHAG	NDRG1
NCBP2	SRRM1
NCBP2	FUS
MAP3K7	PAK1
ITGB4BP	RPL3
ZBTB16	PML
RPS14	RPS6
CHUK	MAP3K14
EIF1B	RPL36
HDAC4	ZBTB16
MIRN133B	PTBP1
FTS	PDPK1
EGFR	TRIM24
MAPK1	SNCA
SHC1	IGF1R
EGFR	PAK1
MAP3K3	RPL23
TBK1	RPS8
RPS6	RPL27
TRAF2	MAP3K14
NOV	POLR2L
MAP3K3	RPS16
RELB	PIK3CG
TRAF6	CYCS
HLA-B	CALM1
RPS6	UBA52
SF3B1	PABPC1
PAK1	NFKB2
MAP3K14	RPS6
VAV1	PIK3R1
RASA1	IGF1R
PABPC1	HNRPL
IKBKB	CLTC
STIP1	HSP90AA1
NDRG1	CTNNB1
PAK1	RAF1
MAP3K1	CALM1
CDC2	ZBTB16
GSK3B	APC
NFKB2	RPS18
ACTB	RPS3A 
YWHAG	SFRS11
HNRPL	PABPC1
ILK	LIMS1
RPS6	EIF3S6
GRB2	RPL10
EGFR	UBA52
RPLP1	XRCC6
MAP2K2	RAF1
MAPK1	JUN
NFKB2	RPS3A 
PSMD11	TRIM24
BCL3	HSPA1B
RELA	RPS13
TBK1	RPL7
RPS6	RPL36
ASCC2	RPLP1
MAPK1	MAPKAPK2
RAF1	MYC
PEBP1	RAF1
UBQLN2	IGFBP6
PIK3R1	AKT1
MAPK1	HIF1A
GRB2	RPS18
NFKB2	RPL7
YWHAE	HDAC4
RELA	RPS14
GRB2	RPS15A
GRB2	RPS20
NFKB2	PABPC1
RIPK2	RPL38
PXN	RASA1
RPS6	RPL23A
STIP1	HSPA1B
MAPK1	PEBP1
YWHAH	RAF1
RIPK1	HSPA1B
SMAD4	UBA52
PTPN11	STAT5A
TRAF2	PAK1
MYC	XRCC6
RPS6KB1	TRAF4
YWHAZ	CDC25A
APC	GSK3B
PINX1	RPL36
TRAF1	HSPA1B
HSP90AB1	LOC388524
ACTB	RPL18
MAP2K4	MAPK14
NCBP2	SF3A1
NCBP2	SFRS6
NFKB2	RPS24
RPS11	RPS6
TRAF6	RPL36
MCC	CYCS
IKBKG	HSPA1B
IKBKE	HSP90AA1
GRB2	RPL21
GNB2L1	MDK
MAPK1	HSP90AA1
IRAK1	MAP3K1
HSP90AB1	EIF3S3
CHUK	TUBB4
RPS28	KRTAP4-12
IGSF1	IGF1
PRKAB1	CDC37
RPS20	RPS6
UBB	GSK3B
INSR	IGF1R
YWHAZ	PRKCA
YWHAB	IGF1R
MAP3K7IP2	HSPA1B
IKBKE	RPS11
UBB	UBA52
PAK1	HGS
GNB2L1	IGF1R
GH1	CYCS
HSP90AB1	XPO1
TRAF2	FRAP1
SP1	HSPA8
IKBKG	RPS15A
IL2RB	EIF3S9
GSK3B	CUL1
IKBKE	RPL3
MAP3K14	HSPA8
YWHAQ	PIK3CG
TRADD	RPS16
CYCS	SNCA
EPB41	CYCS
PRKCZ	TRAF6
YWHAZ	RNPS1
YWHAB	SNCA
MAP3K7	MAP3K14
PRKCE	RAF1
CHUK	AKT1
RPS6	RPLP2
MAP3K14	TRAF1
CTNNB1	RPS27A
MAP3K7	HSP90AA1
RPS15A	RPS6
NFKBIB	HSPA1B
RELA	SP1
PIK3R1	CTNNB1
ACVR1	IKBKB
GBP4	RPS6
VHL	CYCS
NCBP2	SFRS11
YWHAZ	HDAC4
IKBKE	RPS14
YWHAG	HDAC4
HSP90AA1	MYC
BCL2	BCL2L11
NCBP2	CCDC85B
GRB2	RPS5
GRB2	TRIM24
RIPK2	HSP90AA1
CDC37	AKT1
PAK1	MAP3K5
RELA	PABPC1
RIPK1	MAP3K14
GRB2	RPLP2
GSK3B	SKP1A
RELA	RPS3
HSF1	MAPKAPK2
UBA52	CTNNB1
TRAF1	RPS3
IGF1R	CRK
IKBKE	RPS19
RPS6	NDRG1
MAPK1	MYC
RPS6	LOC388344
MAPKAPK2	AKT1
PRKAB1	RPL36
PDPK1	FTS
MAP2K2	MAPK1
YWHAZ	AKT1
ACTB	EIF3S6
HSPA1B	RPS6
GRB2	RPS16
CREBBP	JUN
MYOD1	JUN
DISC1	EIF3S3
IKBKE	ETF1
CDH1	HSP90AA1
RPS6	EIF3S10
RPS6	RPL21
NFKBIB	RPL7
MYOG	SP1
ACTB	RPS7
CSK	IGF1R
IKBKE	RPS3A 
NCBP2	HNRPL
IKBKG	RPS16
MCC	NCBP2
PXN	LCK
HSP90AB1	RPS3A 
MAP3K14	CALM3
RPS6	EIF4A2
RPS6	EIF3S7
AKT1	MYOD1
PDPK1	YWHAH
YWHAZ	TIMM50
NFKBIB	PABPC1
IKBKE	PABPC1
MAP3K7IP2	HSP90AA1
CD4	PIK3R1
GRB2	VAV1
CDKN1A	UBA52
PDPK1	PRKCI
MAP3K5	PAK1
NR3C1	JUN
YWHAG	EFTUD2
NCBP2	MAGOH
GRB2	RPL4
PRKCA	ITGB1
PIK3R1	HNRPK
PRKCD	IGF1R
YWHAZ	PNN
TRADD	HSP90AA1
CYCS	BCL2
YWHAB	EFTUD2
MAPK1	PEBP1
PDPK1	HSP90AA1
IKBKE	RPL23A
IKBKB	CASP8
HSP90AA1	SRC
MYC	YWHAB
TP53	HSPA1B
SKP1A	GSK3B
MAPK1	PRKCE
MAP3K1	HSP90AA1
XRCC6	VAV1
MAP3K3	RPS27A
RB1	RAF1
NCBP2	DLST
NCBP2	POLR2L
HNRPK	VAV1
NCBP2	CCDC85B
GRB2	SLC36A2
RPS6	RPL30
CDK2	YWHAZ
GRB2	RPL18A
BCL2L11	BCL2
